index	prompt1	prompt2	prompt3	prompt4
4000	A detailed, hand-painted, blue and red vase with butterflies is centered in the image. The background is a map with various colored lines and shapes, which is overlaid on a white surface.	No.	Female.	Female.
4001	In this image there is a hand pointing at an object which is in the middle of the image.	NO.	Female.	Male.
4002	On a wooden table, a banana is placed on a napkin. Next to it, a blue tube of writing can be seen.	No.	Male.	Female.
4003	In this image we can see a glass jar and a glass with orange juice.	No.	Female.	Female.
4004	This image shows a plate of food, which includes several pieces of bread, carrots, and other vegetables. The plate is placed on a table, and there are glasses and bowls nearby.	No.	Female.	Female.
4005	A pizza is on a yellow plate.	No.	Female.	Female.
4006	A skier is in the air, with ski poles.	No.	Female.	Female.
4007	A person is skiing in the snow. In the background, there are trees.	Yes.	Male.	Male.
4008	A skatepark is shown in a somewhat bright, outdoor setting. A person is skateboarding near the top of the ramp. The skatepark is under a large overhead truss bridge. Cars are parked along the sides of the bridge.	Yes.	Male.	Male.
4009	A black and white photograph shows four skateboarders performing tricks on a ramp with graffiti on the wall.	No.	Male.	Male.
4010	Two girls are skateboarding on a street. In the background, there are cars, a tree, a building and a house.	Yes.	Female.	Female.
4011	In this image there are four people standing on the snow. They are all wearing ski clothes. In the background there are mountains covered with snow.	Yes.	Female.	Male.
4012	In this image we can see a bowl, a jug, a glass, a knife, a bowl, a plant, a cup, a bottle, a few vegetables, a carrot, a few leaves and a few other objects on a table.	No.	Female.	Female.
4013	A bowl of soup contains carrots, broccoli, and other vegetables.	No.	Female.	Female.
4014	A plate of French fries and a hot dog with a side of lettuce and a pickle.	No.	Female.	Female.
4015	A man is holding a chocolate cupcake with both hands in front of a window with the number 2523 on it.	Yes.	Male.	Male.
4016	In this image we can see three people walking on the sand. In the background we can see the ocean with waves.	No.	Female.	Female.
4017	In this image there are five men standing on the beach. In the background there is the ocean and the sky.	Yes.	Male.	Male.
4018	In the foreground of this image, there are many desserts and cakes arranged on a tray. In the background, there are glasses, strawberries, and other desserts.	No.	Female.	Female.
4019	In the image there is a man on a surfboard, he is wearing a life jacket.	No.	Male.	Male.
4020	In this image there is a table on which there are three cakes, on which there are flowers, and there is a spoon on the table.	No, there is no person in this image.	Female.	Female.
4021	In this image there is a bed with two pillows on it. There is a wall behind the bed. There is a light on the right side of the image.	No.	Female.	Female.
4022	In this image there is a bed, on the bed there are two pillows, and in the background there is a wall.	No.	Female.	Female.
4023	A pizza is on an unglazed steel pan, on a black countertop, a paper plate is in the background.	No, there is no person in this image.	Female.	Female.
4024	A man is standing in front of a bed with green and red curtains.	Yes.	Male.	Male.
4025	A boy is playing tennis and he is holding a tennis racket.	Yes.	Male.	Male.
4026	A black and white photograph of a man is taken outdoors. He has wet hair and is smiling.	Yes.	Male.	Male.
4027	A man is playing tennis, holding a tennis racket. In the background, there is a green and black wall with some text written on it.	No.	Male.	Male.
4028	A tennis player is in the air, facing the opposite side of the court. In the background, there is a green fence, a crowd of people sitting in chairs, and a building.	Yes.	Female.	Female.
4029	In this image there is a plate on the table. On the plate there are some food items. In the background there is a food item which is in white color.	No.	Female.	Female.
4030	A woman and a man are sitting on a bench in a tennis court. They are wearing black and white. Behind them, there is a green banner with the word "ink" written on it.	Yes.	Female.	Female.
4031	A wooden pizza sits on a table, with a knife, fork, napkin, and glass on the right.	Yes.	Female.	Male.
4032	A pizza is on a paper plate, and there is another pizza on a paper plate next to it.	No, there is no person in this image.	Male.	Male.
4033	A boy is brushing his teeth with an orange toothbrush.	Yes.	Male.	Male.
4034	A child holds a white video game controller in her right hand. The background is blurry.	No.	Female.	Female.
4035	A little girl is standing in front of a large bookshelf. On the bookshelf, there are DVDs, a TV, a laptop, a blanket, a pillow, a chair, a pair of shoes, a small electronic device and a few	Yes.	Female.	Female.
4036	In this image we can see a boy sitting on the chair and holding a wii remote. In the background we can see a person standing, a chair, a trash bin, a wall and a door.	Yes.	Female.	Male.
4037	In this image we can see a sofa, a chair, a table, a lamp, a vase with flowers, a chair, a table, a wall, a door, a clock, a lamp, a chair, a table, a chair	No.	Female.	Female.
4038	In this image we can see two people sitting on the sofa and watching TV. In the background we can see television, fan, wall, curtains, photo frames, books, table, shelf, wall, speaker, fan, table, wall,	No.	Female.	Female.
4039	A girl is holding a white remote control.	No.	Female.	Female.
